subjectID	optionA	optionB	quantityA	quantityB	sideA
sw_si_4	HCl	m10MSac	0	14	left
sw_si_4	HCl	m10MSac	15	9	right
sw_we_4	HCl	m10MSac	13	5	left
sw_we_4	HCl	m10MSac	1	16	right
we_ge_4	HCl	m10MSac	3	6	left
we_ge_4	HCl	m10MSac	9	10	right
we_si_4	HCl	m10MSac	9	16	left
we_si_4	HCl	m10MSac	12	17	right
we_sw_4	HCl	m10MSac	0	18	left
we_sw_4	HCl	m10MSac	11	25	right
ro_ge_4	m5MSac	NaCl	15	7	right
ro_ge_4	m5MSac	NaCl	6	18	left
ro_si_4	m5MSac	NaCl	10	19	right
ro_si_4	m5MSac	NaCl	28	9	left
ro_sw_4	m5MSac	NaCl	12	16	right
ro_sw_4	m5MSac	NaCl	18	12	left
ro_we_4	m5MSac	NaCl	19	0	right
ro_we_4	m5MSac	NaCl	0	12	left
sw_ge_4	m5MSac	NaCl	19	2	right
sw_ge_4	m5MSac	NaCl	14	11	left
sw_ro_4	m5MSac	NaCl	20	1	right
sw_ro_4	m5MSac	NaCl	2	27	left
sw_si_4	m5MSac	NaCl	9	10	right
sw_si_4	m5MSac	NaCl	7	14	left
sw_we_4	m5MSac	NaCl	7	16	right
sw_we_4	m5MSac	NaCl	14	1	left
we_ge_4	m5MSac	NaCl	15	3	right
we_ge_4	m5MSac	NaCl	11	3	left
we_si_4	m5MSac	NaCl	4	17	right
we_si_4	m5MSac	NaCl	15	11	left
we_sw_4	m5MSac	NaCl	16	3	right
we_sw_4	m5MSac	NaCl	3	15	left
ro_ge_4	m10MSac	water	7	17	left
ro_ge_4	m10MSac	water	18	7	right
ro_si_4	m10MSac	water	13	8	left
ro_si_4	m10MSac	water	6	9	right
ro_sw_4	m10MSac	water	21	7	left
ro_sw_4	m10MSac	water	12	5	right
ro_we_4	m10MSac	water	5	3	left
ro_we_4	m10MSac	water	20	0	right
sw_ge_4	m10MSac	water	28	4	left
sw_ge_4	m10MSac	water	2	22	right
sw_ro_4	m10MSac	water	0	20	left
sw_ro_4	m10MSac	water	6	8	right
sw_si_4	m10MSac	water	2	17	left
sw_si_4	m10MSac	water	13	3	right
sw_we_4	m10MSac	water	6	21	left
sw_we_4	m10MSac	water	0	22	right
we_ge_4	m10MSac	water	2	19	left
we_ge_4	m10MSac	water	9	2	right
we_si_4	m10MSac	water	9	22	left
we_si_4	m10MSac	water	17	9	right
we_sw_4	m10MSac	water	17	16	left
we_sw_4	m10MSac	water	8	11	right
ro_ge_4	HCl	m5MSac	15	8	right
ro_ge_4	HCl	m5MSac	17	16	left
ro_si_4	HCl	m5MSac	5	13	right
ro_si_4	HCl	m5MSac	6	21	left
ro_sw_4	HCl	m5MSac	10	13	right
ro_sw_4	HCl	m5MSac	7	21	left
ro_we_4	HCl	m5MSac	19	5	right
ro_we_4	HCl	m5MSac	3	15	left
sw_ge_4	HCl	m5MSac	0	21	right
sw_ge_4	HCl	m5MSac	35	3	left
sw_ro_4	HCl	m5MSac	11	13	right
sw_ro_4	HCl	m5MSac	0	21	left
sw_si_4	HCl	m5MSac	5	20	right
sw_si_4	HCl	m5MSac	2	31	left
sw_we_4	HCl	m5MSac	0	6	right
sw_we_4	HCl	m5MSac	20	6	left
we_ge_4	HCl	m5MSac	11	16	right
we_ge_4	HCl	m5MSac	9	9	left
we_si_4	HCl	m5MSac	8	24	right
we_si_4	HCl	m5MSac	17	7	left
we_sw_4	HCl	m5MSac	4	28	right
we_sw_4	HCl	m5MSac	12	18	left
ro_ge_4	NaCl	water	9	21	left
ro_ge_4	NaCl	water	22	7	right
ro_si_4	NaCl	water	17	5	left
ro_si_4	NaCl	water	5	22	right
ro_sw_4	NaCl	water	4	16	left
ro_sw_4	NaCl	water	5	11	right
ro_we_4	NaCl	water	6	13	left
ro_we_4	NaCl	water	8	8	right
sw_ge_4	NaCl	water	28	0	left
sw_ge_4	NaCl	water	0	31	right
sw_ro_4	NaCl	water	9	17	left
sw_ro_4	NaCl	water	17	8	right
sw_si_4	NaCl	water	16	8	left
sw_si_4	NaCl	water	16	11	right
sw_we_4	NaCl	water	23	2	left
sw_we_4	NaCl	water	15	6	right
we_ge_4	NaCl	water	10	18	left
we_ge_4	NaCl	water	7	17	right
we_si_4	NaCl	water	25	3	left
we_si_4	NaCl	water	12	9	right
we_sw_4	NaCl	water	21	14	left
we_sw_4	NaCl	water	18	19	right
