subjectID	optionA	optionB	quantityA	quantityB	sideA
ro_sw_4	AlmondMilk	AppleJuice	40	11	right
ro_we_4	AlmondMilk	AppleJuice	26	11	left
ro_we_4	AlmondMilk	AppleJuice	28	1	right
sw_ge_4	AlmondMilk	AppleJuice	29	1	left
sw_ge_4	AlmondMilk	AppleJuice	3	23	right
sw_ro_4	AlmondMilk	AppleJuice	34	12	left
sw_ro_4	AlmondMilk	AppleJuice	27	32	right
sw_si_4	AlmondMilk	AppleJuice	42	2	left
sw_si_4	AlmondMilk	AppleJuice	10	13	right
sw_we_4	AlmondMilk	AppleJuice	8	2	left
sw_we_4	AlmondMilk	AppleJuice	8	5	right
we_ge_4	AlmondMilk	AppleJuice	48	3	left
we_ge_4	AlmondMilk	AppleJuice	20	7	right
we_si_4	AlmondMilk	AppleJuice	37	12	left
we_si_4	AlmondMilk	AppleJuice	27	12	right
we_sw_4	AlmondMilk	AppleJuice	43	5	left
we_sw_4	AlmondMilk	AppleJuice	43	6	right
ro_ge_4	AlmondMilk	water	0	36	right
ro_ge_4	AlmondMilk	water	51	0	left
ro_si_4	AlmondMilk	water	0	34	right
ro_si_4	AlmondMilk	water	36	0	left
ro_sw_4	AlmondMilk	water	28	18	right
ro_sw_4	AlmondMilk	water	49	2	left
ro_we_4	AlmondMilk	water	0	24	right
ro_we_4	AlmondMilk	water	42	0	left
sw_ge_4	AlmondMilk	water	18	27	right
sw_ge_4	AlmondMilk	water	49	5	left
sw_ro_4	AlmondMilk	water	14	35	right
sw_ro_4	AlmondMilk	water	50	2	left
sw_si_4	AlmondMilk	water	25	17	right
sw_si_4	AlmondMilk	water	50	0	left
sw_we_4	AlmondMilk	water	1	38	right
sw_we_4	AlmondMilk	water	47	1	left
we_ge_4	AlmondMilk	water	1	43	right
we_ge_4	AlmondMilk	water	40	0	left
we_si_4	AlmondMilk	water	9	31	right
we_si_4	AlmondMilk	water	57	0	left
we_sw_4	AlmondMilk	water	30	10	right
we_sw_4	AlmondMilk	water	44	5	left
ro_ge_4	AppleJuice	quinine	35	0	right
ro_ge_4	AppleJuice	quinine	57	0	left
ro_si_4	AppleJuice	quinine	47	1	right
ro_si_4	AppleJuice	quinine	52	1	left
